Restaurant Name,Rating,Cuisine,Average Price,Average Delivery Time,Safety Measure,Location
Campus Bakers,4.3,"Bakery, Fast Food, Pizza, Sandwich, Burger",50.0,36.0,0,Agra
Mama Chicken Mama Franky House,4.0,"North Indian, Mughlai, Rolls, Burger, Momos",50.0,22.0,1,Agra
GMB - Gopika Sweets & Restaurant,4.2,"North Indian, South Indian, Chinese, Fast Food, Street Food",50.0,27.0,1,Agra
Shree Bankey Bihari Misthan Bhandar,4.2,"Mithai, Street Food, South Indian, Chinese, Ice Cream, Desserts, Beverages",50.0,28.0,0,Agra
Burger King,4.2,"Burger, Fast Food, Beverages",50.0,26.0,1,Agra
Star Ultimate Pizza,4.1,"Fast Food, Pasta, Beverages",50.0,31.0,0,Agra
Goverdhan Bakery,3.9,"Bakery, Fast Food, Desserts",50.0,29.0,1,Agra
Manoj Restaurant,4.1,"South Indian, Chinese, North Indian",50.0,21.0,1,Agra
Bikanervala,4.1,"Street Food, North Indian, Chinese, Mithai, South Indian, Fast Food, Desserts, Beverages",50.0,31.0,1,Agra
Cake Wala,3.9,Bakery,50.0,28.0,1,Agra
Bhagat Halwai,4.2,"Street Food, Fast Food, Pizza, Sandwich, Chinese, South Indian, Shake, Beverages",50.0,27.0,0,Agra
Kings Pizza And Burger,3.9,"Pizza, Fast Food",50.0,32.0,1,Agra
Cake House,3.4,"Bakery, Fast Food, Beverages",100.0,43.0,1,Agra
Bhagat Halwai,4.1,"North Indian, South Indian, Street Food, Fast Food, Beverages",100.0,28.0,1,Agra
Bhagat Halwai,4.0,"Fast Food, Chinese, South Indian, Street Food, Mithai, Desserts, Bakery, Beverages",100.0,35.0,1,Agra
Shiv Bhojnalaya,3.6,North Indian,100.0,33.0,1,Agra
Kwality Wall’s Frozen Dessert And Ice Cream Shop,4.3,"Ice Cream, Desserts",100.0,30.0,1,Agra
Laziz Pizza,4.1,"Pizza, Burger, Fast Food",100.0,36.0,1,Agra
Sardar Ji Da Dhaba,3.6,North Indian,100.0,32.0,1,Agra
Pushpak Misthan Bhandar and Sweet,4.2,"Mithai, Street Food",100.0,26.0,1,Agra
Shree Bankey Bihari Misthan Bhandar,4.2,"Mithai, Street Food",100.0,25.0,1,Agra
Shri Tirupati No.1 Family Restaurant,3.8,"North Indian, South Indian, Fast Food",100.0,33.0,1,Agra
Pizza Cave,4.1,"Pizza, Fast Food, Ice Cream, Beverages",100.0,38.0,0,Agra
Little N Chef,3.5,"Chinese, North Indian, Fast Food, Momos, Pizza, Sandwich",100.0,36.0,1,Agra
Big Crust,3.8,"Pizza, Pasta, Shake, Desserts, Fast Food",150.0,43.0,1,Agra
Shan E Hind,3.8,"North Indian, Rolls, Biryani",150.0,25.0,1,Agra
KFC,4.1,"Burger, Fast Food, Biryani, Desserts, Beverages",150.0,21.0,0,Agra
Chimmanlal Puri Wale,4.0,"North Indian, Street Food, Mithai",150.0,19.0,1,Agra
The Big Bun,4.2,"Fast Food, Burger, Desserts, Bakery",150.0,34.0,1,Agra
Ravi Patties & Mocktail Point,3.9,Street Food,150.0,41.0,1,Agra
Ambey Bakers,3.8,"Bakery, Fast Food, Desserts",150.0,33.0,1,Agra
Kushwah Lassi Corner,4.3,Beverages,150.0,37.0,1,Agra
Sattolala Food Court,4.0,"North Indian, Mithai, Fast Food",150.0,30.0,1,Agra
Aahar,4.2,"North Indian, South Indian, Chinese, Bakery, Continental, Desserts, Beverages",150.0,35.0,1,Agra
Bhawna Sweets,3.8,"Mithai, Desserts, Bakery",150.0,24.0,1,Agra
Sathvik Padukone South Indian Dosa Corner,4.1,South Indian,150.0,22.0,1,Agra
Brijbhog Mishthan Bhandar - Brij Rasayanam,4.3,"Mithai, Street Food, Fast Food, Beverages, Cafe, North Indian, Chinese",150.0,29.0,1,Agra
Brijbhog Misthan Bhandar,4.4,"Mithai, Street Food",150.0,23.0,1,Agra
Gopaldas Pethe Wale,4.4,"Mithai, Street Food",150.0,18.0,1,Agra
Yadav Dhaba Purana,3.9,North Indian,150.0,34.0,1,Agra
Sardar G Malai Chaap Junction,4.1,"North Indian, Rolls, Momos",150.0,27.0,1,Agra
What The Food,3.8,"Chinese, Rolls, Momos, Burger, Fast Food",150.0,39.0,1,Agra
Pizza Pasta Day,4.0,"Pizza, Pasta, Fast Food, Beverages",150.0,39.0,1,Agra
Sri Dauji Mishthan Bhandar,4.2,"Mithai, North Indian",150.0,27.0,1,Agra
Guru Kripa Yadav Dhaba,3.9,North Indian,150.0,30.0,1,Agra
Cake & More,4.3,"Bakery, Fast Food, Ice Cream, Desserts, Beverages",150.0,15.0,0,Agra
Hot Pizza,3.4,"Pizza, Fast Food, Desserts, Beverages, Shake",150.0,58.0,0,Agra
Pizza Delight Cafe And Restaurant,4.1,"Pizza, Fast Food",150.0,53.0,1,Agra
Dubey Ji Da Dhaba,3.8,North Indian,100.0,26.0,0,Agra
New Moon Light Restaurant,3.5,North Indian,100.0,33.0,1,Agra
Subway,4.0,"Sandwich, Healthy Food, Salad, Wraps, Beverages",100.0,27.0,1,Agra
Papa Ji Da Dhaba,4.2,North Indian,100.0,38.0,1,Agra
Cakeology Cake,3.9,"Bakery, Desserts",100.0,32.0,0,Agra
The Greener Side,4.1,"Cafe, Fast Food, Burger, Sandwich, Desserts, Beverages, Waffle",100.0,38.0,1,Agra
Om Sai Lassi And Juice Corner,4.3,Juices,100.0,36.0,1,Agra
The Burger Company,4.0,"Burger, Fast Food, Momos, Pizza, Sandwich, Desserts, Beverages, Shake",100.0,35.0,1,Agra
European Bakery,3.3,"Bakery, Desserts",100.0,46.0,1,Agra
Manoj Dhaba,3.9,North Indian,100.0,26.0,1,Agra
Shiva Bhojnalaya,3.6,North Indian,100.0,54.0,1,Agra
Anant Restaurant,4.1,"South Indian, Street Food",100.0,26.0,0,Agra
Haldiram's,4.0,"North Indian, South Indian, Chinese, Fast Food, Street Food, Mithai, Beverages",200.0,21.0,1,Agra
Kanak Misthan Bhandar,3.9,"Street Food, Mithai, Fast Food",100.0,33.0,1,Agra
Atlantic Foods,4.2,"Bakery, Desserts, Fast Food, Beverages",200.0,24.0,1,Agra
Agarwal Food Court,3.9,"South Indian, Chinese, Fast Food, Street Food, Beverages, North Indian",250.0,21.0,1,Agra
Sri Dauji's Chatpataa,4.1,"North Indian, South Indian, Chinese, Fast Food, Beverages, Desserts",200.0,32.0,1,Agra
Bakingo,4.4,"Bakery, Desserts",150.0,50.0,1,Agra
Bhoji,4.2,"North Indian, Fast Food, Burger, Shake",150.0,33.0,1,Agra
Ratan Pizza,4.0,"Pizza, Fast Food, Street Food, Momos, Desserts, Beverages",200.0,39.0,1,Agra
Royal Rolls,3.9,"Rolls, Fast Food, Beverages, Pizza, Burger",150.0,28.0,1,Agra
Deviram Sweets & Restaurant,4.2,"North Indian, Mithai, Fast Food, Beverages, Desserts",300.0,15.0,0,Agra
MKOP,4.4,"Bakery, Desserts, Street Food, Rolls, Beverages",150.0,17.0,0,Agra
The Belgian Waffle Co.,4.4,"Waffle, Ice Cream, Desserts, Beverages",200.0,36.0,1,Agra
Desire Bakers,3.9,"Bakery, Desserts",50.0,30.0,1,Agra
Ichchha Veg Biryani & Fast Food,3.9,Biryani,50.0,37.0,1,Agra
Master Chef Street Food (Chef Arjun ),3.9,"Fast Food, Italian, Pizza, Pasta, Beverages",50.0,21.0,1,Agra
Deviram Food Circle,4.0,"Street Food, Chinese, South Indian",50.0,34.0,1,Agra
Yum Yum Vada Pav No.1,3.5,Street Food,50.0,36.0,0,Agra
The Fresh Pizza,3.8,"Fast Food, Pizza",50.0,30.0,0,Agra
Panchhi Petha,4.4,Mithai,50.0,25.0,1,Agra
Momos Point,4.1,Momos,50.0,26.0,0,Agra
Solanki Petiz,3.8,Fast Food,50.0,28.0,1,Agra
Thali Adda,4.1,"North Indian, Desserts, Biryani",50.0,31.0,0,Agra
Food Stock Xchange,4.1,"Chinese, Rolls, North Indian, Biryani, Mughlai, Fast Food",50.0,33.0,1,Agra
Pushpak Misthan Bhandar Sweets And Snack,4.3,Mithai,50.0,25.0,1,Agra
Yadav Dhaba,3.9,North Indian,100.0,35.0,1,Agra
Deviram Sweets & Food Plaza,4.3,"Mithai, North Indian, Fast Food, Chinese, South Indian, Biryani",100.0,29.0,1,Agra
Sai Food Hub,3.4,"Fast Food, Chinese, Bakery",100.0,45.0,1,Agra
Karchi,4.2,"North Indian, Mughlai, Kebab, Biryani, Fast Food",100.0,35.0,0,Agra
Sydney Cafe,3.7,"Pizza, Fast Food, Street Food",100.0,65.0,1,Agra
Tomars Hygiene Kitchen,4.2,"North Indian, Mughlai",100.0,31.0,1,Agra
Chimmanlal Puri Wale-Chhoti Dukaan,3.7,"North Indian, Street Food",100.0,23.0,1,Agra
Romos Bistro,3.8,"North Indian, Chinese",100.0,46.0,1,Agra
Shayhub,4.0,"Fast Food, Beverages, Pizza, Sandwich",100.0,41.0,1,Agra
New Agra Fast Food & Restaurant,4.0,"North Indian, South Indian",100.0,31.0,1,Agra
Shri Thakur Ji Misthan Bhandar,3.7,"Mithai, North Indian, South Indian, Fast Food, Chinese, Street Food, Pizza",100.0,32.0,0,Agra
D'zurt Cafe,4.2,"Cafe, Fast Food, Burger, Sandwich, Wraps, Momos, Desserts, Street Food",100.0,37.0,1,Agra
Sasural The Restro,3.7,"North Indian, Chinese, Momos, Fast Food, Pizza, Burger, Beverages",250.0,48.0,1,Agra
Chanchal Hotel,3.7,North Indian,250.0,27.0,1,Agra
Le Vera Pizza,4.0,"Pizza, Chinese, Fast Food, Beverages",250.0,38.0,1,Agra
Om Sai Food Court,4.2,"Fast Food, Street Food",250.0,45.0,0,Agra
Pandit Bhojnalaya,3.7,North Indian,250.0,47.0,1,Agra
Ratan Pizza,3.8,"Pizza, Fast Food, Bakery",250.0,41.0,1,Agra
Agra Chat Cafe,3.5,Street Food,250.0,29.0,0,Agra
SSS Cafe',4.3,"Pizza, Chinese, Pasta, Sandwich, American, Fast Food, Beverages",250.0,39.0,1,Agra
Gupta Ji Veg Biriyani and Fast Food,3.8,Biryani,250.0,44.0,0,Agra
Gopeshwar Yadav Dhaba Purana,3.6,North Indian,250.0,39.0,0,Agra
Vadilal Ice Creams,4.4,"Ice Cream, Desserts",250.0,25.0,1,Agra
Agarwal Chat Bhandhar,4.1,"Street Food, South Indian",250.0,24.0,1,Agra
NIC Ice Creams,4.4,"Ice Cream, Desserts",100.0,20.0,0,Agra
Sargra Online Cake Delivery,3.6,Bakery,100.0,42.0,1,Agra
Divyanshi Fast Food Center,3.7,"Chinese, Fast Food, Pizza, Burger",100.0,49.0,0,Agra
Brijwasi Sweets & Restaurant,3.9,"Mithai, North Indian, South Indian, Fast Food, Shake",100.0,25.0,1,Agra
Gyani Dhaba,4.0,North Indian,100.0,46.0,1,Agra
Cake Factory,3.7,Bakery,100.0,33.0,1,Agra
MMC Me N My Choice,4.1,Bakery,100.0,32.0,0,Agra
Agra Fast Food And Restaurant,3.8,"North Indian, South Indian",100.0,31.0,1,Agra
Tirupati's Dosa Factory,3.9,"South Indian, Chinese, Beverages",100.0,32.0,1,Agra
Veer Ji Malai Chaap Wale,3.6,"Chinese, North Indian, Fast Food, Momos, Rolls, Biryani",100.0,36.0,1,Agra
The Mud Shakes,4.3,"Beverages, Shake, Waffle, Fast Food",100.0,36.0,1,Agra
Kings Kulfi And Icecreams,4.5,"Ice Cream, Desserts",100.0,31.0,1,Agra
Burger27,4.1,"Burger, Wraps, Sandwich, Fast Food, Beverages",150.0,28.0,1,Agra
Laziz Family Restaurant,3.6,North Indian,150.0,29.0,1,Agra
Chhabra Bakers And Confectioners,4.1,"Bakery, Desserts, Fast Food, Pizza, Street Food",150.0,25.0,1,Agra
Chainess,4.2,"Street Food, Sandwich, Fast Food, Tea, Beverages",150.0,26.0,1,Agra
Pizza Hub,3.3,"Pizza, Fast Food",150.0,44.0,1,Agra
Chennai Express,3.6,"South Indian, North Indian, Chinese",150.0,42.0,1,Agra
Mama's Parantha,3.8,"North Indian, Fast Food, Sandwich, Chinese",150.0,36.0,1,Agra
The Briston Kitchen,3.9,"North Indian, Fast Food, Chinese, Momos",150.0,32.0,1,Agra
Djlecious,4.3,"Bakery, Desserts, Beverages",150.0,31.0,1,Agra
Hashim Restaurant,4.0,North Indian,150.0,29.0,1,Agra
Shyam Ji Restaurant,3.4,"North Indian, Chinese, South Indian, Desserts, Ice Cream, Beverages",150.0,42.0,1,Agra
Kaila Devi Fast Food Corner,4.0,"North Indian, South Indian",150.0,27.0,1,Agra
Maa Vaishno Restaurant,3.9,North Indian,100.0,32.0,0,Agra
Pizza House Family Restautant,3.0,"Pizza, Burger, Beverages, Shake, Bakery",100.0,45.0,1,Agra
Romo's Bistro,3.9,"North Indian, Chinese, Fast Food, Momos, Rolls",100.0,47.0,1,Agra
Cake & More,4.2,"Shake, Fast Food, Beverages, Pizza, Desserts",100.0,27.0,1,Agra
Amritsari Tandoori Kulcha Wa Choor Choor Naan,4.1,"North Indian, Healthy Food",100.0,36.0,1,Agra
Biryani By Kilo,4.4,"Biryani, Hyderabadi, Kebab, North Indian, Ice Cream, Desserts",100.0,70.0,1,Agra
Vada Pav King,4.3,"Fast Food, Street Food, Beverages",100.0,33.0,1,Agra
Giani Ice Cream,3.9,"Desserts, Ice Cream",100.0,22.0,1,Agra
Retro Thrill Cafe,3.8,"Fast Food, Pizza, Burger, Rolls, Chinese, North Indian, Biryani, Beverages",100.0,51.0,1,Agra
Brie,3.8,"Chinese, Fast Food, Desserts, Beverages, Burger, Sandwich, Continental, Shake",100.0,41.0,1,Agra
Bikaner Express,3.8,"North Indian, South Indian, Chinese, Street Food, Beverages",100.0,38.0,1,Agra
AK Pizza Wala,4.0,"Pizza, Burger, Fast Food",100.0,35.0,1,Agra
Pinch Of Spice,4.2,"North Indian, Chinese, Mughlai",500.0,31.0,1,Agra
Quality Paratha & Fast Food Restaurant,4.1,"North Indian, Chinese, Rolls, Fast Food",500.0,35.0,1,Agra
Pandit Bhojnalaya,3.6,"North Indian, South Indian, Chinese",500.0,47.0,0,Agra
Bhagat Halwai,4.0,"Mithai, Chinese, South Indian, Street Food, Fast Food, Beverages",500.0,31.0,1,Agra
Rolls King,3.8,"North Indian, Rolls, Fast Food",500.0,29.0,1,Agra
A & C Burger Shoppee,4.1,"Fast Food, Pizza, Burger, Sandwich, Beverages, Shake",500.0,37.0,1,Agra
Pizza Cafe,4.1,"Pizza, Fast Food, Beverages",500.0,30.0,1,Agra
Punjabi Chaap Bistro,4.1,"North Indian, Biryani, Rolls, Momos, Shake",500.0,23.0,1,Agra
Dilshad Biryani,4.2,Biryani,500.0,30.0,1,Agra
Delhi 6,4.1,"North Indian, Street Food",500.0,33.0,1,Agra
Dry & Gravy,3.7,"Chinese, Fast Food, Beverages",500.0,38.0,1,Agra
Vasudev Foods,3.4,"Street Food, Sandwich, Beverages, Burger, Italian, North Indian, Pasta, Momos",500.0,37.0,1,Agra
Guru Kripa Bhojnalaya,3.9,North Indian,50.0,42.0,1,Agra
Urban Vada Pav,3.9,"Street Food, Wraps, Sandwich, Shake, Momos, Fast Food, Pizza",50.0,38.0,1,Agra
EATCO.,3.6,"North Indian, Fast Food, Mughlai, Rolls",50.0,47.0,0,Agra
Spiced Brew,4.3,"Coffee, Fast Food, Momos, Shawarma, Burger, Sandwich, Waffle, Shake",50.0,29.0,1,Agra
Jain Restaurant,4.0,"North Indian, South Indian",50.0,35.0,1,Agra
Rahul Dhaba,3.7,North Indian,50.0,59.0,0,Agra
Raj Rasoi,4.0,"North Indian, South Indian, Chinese, Street Food, Fast Food, Beverages, Shake",50.0,27.0,1,Agra
Shri Mangalam Dhabha,3.6,North Indian,50.0,43.0,0,Agra
Shri Balaji Juice Bhandar,4.1,"Shake, Juices",50.0,22.0,0,Agra
Faasos - Wraps & Rolls,4.2,"Rolls, Wraps, North Indian",50.0,37.0,1,Agra
Bhagwan Corner Cakes And Pastries,3.3,"Bakery, Desserts",50.0,45.0,0,Agra
M/s Guru Mahima Shudh Shakari Bhojnalay,3.4,North Indian,50.0,28.0,1,Agra
Pakeeza Meat House,4.0,Mughlai,300.0,20.0,1,Agra
Vadilal Ice Creams,4.3,"Ice Cream, Desserts, Beverages",300.0,28.0,0,Agra
Cake Company,3.6,"Desserts, Bakery",300.0,39.0,1,Agra
Gopaldas Parathe Wale,3.8,North Indian,300.0,36.0,1,Agra
Hungernomia,3.7,"Burger, Fast Food, Pizza, Sandwich, Wraps, Street Food, Beverages, Desserts",300.0,31.0,1,Agra
The Mud Cafe,3.9,"Sandwich, Momos, Burger, Fast Food, Beverages, Desserts",300.0,33.0,1,Agra
Shubh Anand Hi Anand Bhojnalaya,4.0,North Indian,300.0,30.0,1,Agra
Cheesecake & Co.,4.4,Bakery,300.0,37.0,0,Agra
Amritsari Kulcha Junction,4.0,"North Indian, Chinese, Rolls, Beverages",300.0,31.0,1,Agra
Cakery N Bakery,3.8,"Bakery, Desserts, Coffee, Sandwich, Fast Food",300.0,31.0,1,Agra
Bhagwan Cake Corner,3.4,"Bakery, Desserts",300.0,30.0,1,Agra
North Darbar,3.5,"North Indian, Biryani, Kebab",300.0,47.0,1,Agra
Agra Biryani Hotspot,3.9,"Biryani, North Indian, Mughlai, Kebab",300.0,38.0,0,Agra
Bistro 57,4.0,"Cafe, Beverages, Pizza, Fast Food",300.0,35.0,1,Agra
Ram Chinese Food Center,4.1,Chinese,300.0,28.0,1,Agra
The Rice Bowl,4.3,"North Indian, Biryani, Rolls, Momos",300.0,44.0,1,Agra
Chow's Kitchen,4.0,"Chinese, Thai, Asian, Momos, Healthy Food, Rolls, Burger, Sichuan",300.0,41.0,1,Agra
Yo Yo Foods,3.9,"North Indian, Chinese, Pizza, Sandwich, Fast Food, Street Food, South Indian, Shake",300.0,50.0,0,Agra
Chatorelal Food Court,3.9,"South Indian, Chinese, Fast Food, Street Food, North Indian, Momos",300.0,36.0,1,Agra
Break A Bread,4.2,"Fast Food, Chinese, Burger, Rolls, Beverages",300.0,29.0,1,Agra
Deviram Sweets,4.2,"Mithai, South Indian, Street Food, North Indian",300.0,24.0,1,Agra
Babu Misthan Bhandar,4.2,Street Food,300.0,37.0,1,Agra
Cafe Little Bites,3.8,"Fast Food, Pizza, Sandwich, Momos, Street Food, Chinese, North Indian, Beverages",300.0,49.0,1,Agra
Abhishek Dhaba,3.8,North Indian,300.0,26.0,1,Agra
Ram Rasoi Yadav Dhaba Purana,3.7,North Indian,100.0,33.0,1,Agra
FNP Cakes By Ferns N Petals,3.9,"Bakery, Desserts",100.0,23.0,1,Agra
Book Meal,3.7,"Chinese, North Indian, Beverages",100.0,37.0,0,Agra
Nazeer Foods,3.9,"North Indian, Fast Food, Biryani",100.0,33.0,0,Agra
Temptation,4.1,"North Indian, Chinese, Fast Food",100.0,35.0,1,Agra
Om Sai Ram Bhojnalaya,3.7,North Indian,100.0,34.0,1,Agra
China Town,3.8,"Fast Food, Chinese",100.0,38.0,1,Agra
Square 99 Scoops & Cafe,3.9,"Chinese, North Indian, Fast Food",100.0,37.0,0,Agra
Daddy Plz,3.8,"North Indian, Fast Food, Chinese, Momos, South Indian, Shake, Beverages",100.0,49.0,0,Agra
Chopstick,3.4,"Chinese, Momos, Fast Food, North Indian, Street Food",100.0,51.0,1,Agra
Beyond The Slice,3.4,"Bakery, Desserts",100.0,43.0,0,Agra
Agarwal Sweets & Dairy,4.0,"Mithai, Street Food",100.0,51.0,1,Agra
Curry Patta,4.2,"South Indian, Fast Food",200.0,47.0,1,Agra
Daddy Plz Pizza,3.7,"Pizza, Fast Food",200.0,47.0,1,Agra
Pind Balluchi,3.9,"North Indian, Mughlai, Chinese, Desserts",200.0,27.0,1,Agra
Good Indian Home Food,4.1,"North Indian, Street Food, Beverages",200.0,45.0,0,Agra
Burger Chef,4.2,"Pizza, Burger, Sandwich, Wraps, Fast Food, Street Food, Beverages",200.0,34.0,1,Agra
GetAWay - Ice Creams & Desserts,4.3,"Ice Cream, Healthy Food, Desserts, Bakery",200.0,29.0,1,Agra
Behrouz Biryani,4.3,"Biryani, Kebab, Hyderabadi, Lucknowi",200.0,26.0,1,Agra
Biryani & Kebab by Zahid Foods,4.0,"North Indian, Biryani, Lebanese, Mughlai, Chinese, Desserts",200.0,29.0,1,Agra
Momocult,4.2,"Fast Food, Chinese, Momos",200.0,38.0,0,Agra
Spicy Wonder,3.9,"North Indian, Fast Food, Chinese, Continental",200.0,36.0,1,Agra
Barbeque Nation,4.0,"BBQ, North Indian, Biryani, Kebab, Continental, Chinese, Beverages, Desserts",200.0,39.0,1,Agra
Anand Hi Anand,3.9,North Indian,200.0,31.0,0,Agra
V & S Maggie Point,3.6,Fast Food,100.0,39.0,1,Agra
South Story,3.3,South Indian,100.0,41.0,1,Agra
Cake Shake And Cafe,3.6,"Bakery, Chinese, South Indian, Pizza, Fast Food, Street Food, Shake, Beverages",100.0,35.0,0,Agra
Om Restaurant,4.0,North Indian,100.0,27.0,0,Agra
The Urban Egg,3.9,"Rolls, Fast Food, Chinese, Sandwich, Beverages",100.0,36.0,1,Agra
Berco's - If You Love Chinese,4.3,"Asian, Thai, Chinese, Momos, Seafood, Desserts, Beverages",100.0,27.0,1,Agra
Starbucks Coffee,4.2,"Cafe, Coffee, Fast Food",100.0,35.0,1,Agra
Cha Maska,4.1,"Fast Food, Street Food, Shake, Tea, Coffee, Beverages",100.0,34.0,0,Agra
Shree Ram Dhaba - Pure Veg,3.4,North Indian,100.0,36.0,0,Agra
Dear Shoppy,4.1,"Fast Food, Sichuan",100.0,42.0,0,Agra
Cheesy Bees,3.7,"Fast Food, Chinese, Italian, Pizza, Burger, Sandwich, Beverages",100.0,48.0,1,Agra
Al Zameer Restaurant,3.9,"North Indian, Mughlai",100.0,22.0,1,Agra
Grameen Kulfi,4.5,"Ice Cream, Desserts",100.0,21.0,0,Agra
Sweet Truth - Cake and Desserts,4.3,"Desserts, Bakery, Ice Cream",100.0,28.0,0,Agra
Oven Story Pizza - Standout Toppings,4.2,"Pizza, Fast Food",100.0,36.0,0,Agra
Anna Ka Dosa,3.7,South Indian,100.0,53.0,1,Agra
Bhadawar Hotel,4.0,"Fast Food, North Indian",100.0,23.0,1,Agra
Gupta Bakery & Sweet Shop,4.1,"Bakery, Fast Food",100.0,14.0,1,Agra
Momozilla,3.9,"Momos, North Indian",100.0,36.0,1,Agra
Cafe Coffee Day,3.9,"Cafe, Coffee, Tea, Fast Food, Desserts, Beverages, Sandwich, Shake",100.0,20.0,1,Agra
Kings,3.5,"Burger, Sandwich, Rolls",100.0,39.0,0,Agra
Chopstix,4.3,"Chinese, Fast Food, Seafood",100.0,38.0,1,Agra
Nawabi Foods,4.1,"Mughlai, North Indian, Kebab, Biryani",100.0,31.0,1,Agra
Anand Foods,4.2,Bakery,100.0,25.0,1,Agra
Dehaat City,3.8,"North Indian, Chinese, Mughlai, Salad, Momos, Fast Food, Street Food, Beverages",150.0,30.0,1,Agra
The Park Restaurant,4.1,"North Indian, Chinese, Continental, Mughlai, Beverages, Biryani",150.0,23.0,0,Agra
The Cake Hub,3.2,"Bakery, Desserts",150.0,32.0,0,Agra
Sai Food Corner,3.3,"Burger, Sandwich, Pizza, Fast Food, Bakery",150.0,50.0,1,Agra
D Lunch Time,4.3,North Indian,150.0,46.0,1,Agra
Pape Ka Dhabha,4.4,"North Indian, Mughlai",150.0,26.0,1,Agra
Rajshtani Home Food,3.8,Rajasthani,150.0,60.0,1,Agra
Jenith Fast Food,4.0,"North Indian, South Indian, Continental",150.0,28.0,1,Agra
Sharma Pavitra Bhojnalya,3.7,North Indian,150.0,21.0,1,Agra
Shri Bankey Bihari Ji Fast Food Corner,4.0,"North Indian, Street Food",150.0,33.0,1,Agra
Lakshmi Vilas,4.2,"South Indian, Chinese, Tea, Shake, Desserts",150.0,22.0,1,Agra
Shyam Ji Dubey Ji Ka Dhaba,3.7,"North Indian, Street Food",150.0,29.0,1,Agra
Mama Mutton Chicken Bhandhar,3.3,North Indian,150.0,58.0,0,Agra
UBQ by Barbeque Nation,4.0,"BBQ, North Indian, Chinese, Street Food, Kebab, Beverages, Desserts",150.0,43.0,0,Agra
Mr Rice Box,3.5,"North Indian, Beverages, Biryani",150.0,46.0,0,Agra
Dreams Bakers Paradise,3.4,"Bakery, Burger, Pizza, Sandwich, Fast Food, Rolls, Pasta",150.0,40.0,0,Agra
Sips And Bites,4.1,"Sandwich, Burger, Pizza, Fast Food, Shake, North Indian",150.0,35.0,1,Agra
The Forest,3.6,"North Indian, Italian, Chinese",150.0,45.0,1,Agra
Winni Cakes & More,3.5,"Bakery, Desserts, Pizza, Sandwich, Wraps, Pasta, Waffle, Beverages",150.0,42.0,1,Agra
Tandoori Island,4.0,"North Indian, Chinese",150.0,50.0,1,Agra
Chaat Le,3.6,"Street Food, Fast Food",150.0,41.0,1,Agra
MBA Chai Wala,3.6,"Tea, Shake, Beverages, Burger, Pizza, Fast Food, Street Food, Desserts",150.0,24.0,1,Agra
THK- Tomars Hygiene Kitchen,4.3,"North Indian, Biryani, Chinese",150.0,36.0,0,Agra
Dasaprakash - A South Indian Cafe,3.4,"South Indian, North Indian",150.0,32.0,1,Agra
Dandigul Food Circle,3.7,"Biryani, South Indian, Chinese, Street Food",150.0,41.0,1,Agra
Suraj Chowmein Bhandar And Egg Corner,3.5,"Chinese, Street Food",150.0,46.0,0,Agra
Havmor Havfunn Ice Cream,4.5,Ice Cream,150.0,30.0,0,Agra
Jain Cake Wakers,3.6,"Bakery, Fast Food, Rolls, Desserts, Beverages",150.0,34.0,1,Agra
Rajendra Sweets Online,4.5,Mithai,150.0,30.0,0,Agra
Achman Foods,4.2,"North Indian, South Indian, Street Food, Desserts, Beverages",150.0,37.0,1,Agra
Newcastle Cafe & Restaurant,3.7,"North Indian, Fast Food, Chinese, Kebab, Sushi, Seafood, Pizza, Pasta",150.0,52.0,1,Agra
Hello Anna,4.1,"South Indian, Chinese, Fast Food, Street Food, Ice Cream, Shake",150.0,44.0,0,Agra
Dasaprakash,4.2,"South Indian, North Indian, Continental, Chinese, Beverages",150.0,30.0,1,Agra
Farzi Rasoi,4.0,"North Indian, Chinese, Fast Food, Desserts",150.0,33.0,0,Agra
Wok,4.0,"Chinese, Asian, Sushi, Rolls",150.0,55.0,1,Agra
Marwari Rasoi By Hotel Marwari,3.7,North Indian,150.0,20.0,1,Agra
Freaky Burger,4.4,"Burger, Fast Food, Beverages, Pizza, Sandwich",150.0,48.0,1,Agra
Tipsy Grill,3.7,"Burger, Fast Food, Desserts, Waffle, Beverages",150.0,37.0,1,Agra
Why Not Momos,3.4,Momos,150.0,52.0,1,Agra
"Frozen Bottle - Milkshakes, Desserts And Ice Cream",4.1,"Shake, Beverages, Desserts, Ice Cream, Waffle, Healthy Food",150.0,47.0,1,Agra
Sagra,3.9,Bakery,150.0,34.0,1,Agra
Sai Food Plaza,3.2,"Bakery, Pizza, Fast Food, Desserts",150.0,39.0,0,Agra
Anna Samrat Restaurant,3.7,"South Indian, North Indian, Chinese, Ice Cream, Beverages",150.0,38.0,1,Agra
Sams Ristorante Pizzeria,4.2,"Pizza, Burger, Fast Food",150.0,46.0,0,Agra
LOC - Lots Of Chicken,3.7,"North Indian, Mughlai, Biryani",150.0,44.0,1,Agra
Rambabu Ke Parathe,4.1,North Indian,150.0,37.0,1,Agra
Sagra Bakers,4.3,"Bakery, Fast Food",150.0,34.0,1,Agra
Babulal's,3.7,"Biryani, Sandwich, Street Food",150.0,29.0,1,Agra
Ashoka Bar,4.2,North Indian,250.0,34.0,1,Agra
Thali Company,4.0,"North Indian, Desserts",250.0,34.0,1,Agra
Pizza Day,3.4,"Fast Food, Pizza, Burger, Shake",250.0,32.0,0,Agra
